ID lon lat   lonIJ latIJ depthIJ   dist[km]
P0229 288.3591 -32.7328   288.3625 -32.7292 178.4   0.515
P0230 288.3772 -32.8066   288.3792 -32.8042 192.5   0.328
P0231 288.3239 -32.8340   288.3208 -32.8375 248.0   0.484
P0232 288.3047 -32.8656   288.3042 -32.8625 250.5   0.349
P0233 288.2584 -32.9251   288.2625 -32.9292 185.3   0.594
P0234 288.2233 -33.0049   288.2208 -33.0042 216.9   0.245
P0235 288.1579 -33.1171   288.1542 -33.1208 226.7   0.543
P0236 288.1465 -33.2307   288.1458 -33.2292 194.5   0.182
P0237 288.1829 -33.2717   288.1792 -33.2708 217.9   0.361
P0238 288.1648 -33.4012   288.1625 -33.4042 157.2   0.394
P0239 288.1695 -33.4734   288.1708 -33.4708 136.0   0.312
P0240 288.3333 -33.5500   288.3292 -33.5542 338.4   0.604
P0241 288.1933 -33.5642   288.1958 -33.5625 383.9   0.302
P0242 288.1280 -33.5944   288.1292 -33.5958 245.0   0.193
P0243 288.0804 -33.5966   288.0792 -33.5958 222.4   0.143
P0244 288.0546 -33.6142   288.0542 -33.6125 198.1   0.194
P0245 288.0421 -33.6542   288.0458 -33.6542 158.4   0.346
P0246 288.0273 -33.7210   288.0292 -33.7208 161.2   0.174
P0247 287.9676 -33.7404   287.9708 -33.7375 186.9   0.441
P0248 287.9284 -33.7893   287.9292 -33.7875 220.2   0.213
P0249 287.8670 -33.9542   287.8708 -33.9542 172.5   0.354
P0250 287.8035 -34.0795   287.8042 -34.0792 199.0   0.072
P0251 287.7583 -34.1287   287.7542 -34.1292 227.1   0.385
P0252 287.8502 -34.1959   287.8542 -34.1958 188.7   0.366
P0253 287.8337 -34.2791   287.8375 -34.2792 235.0   0.350
P0254 287.8452 -34.4061   287.8458 -34.4042 257.5   0.223
P0255 287.8435 -34.5372   287.8458 -34.5375 180.2   0.217
P0256 287.8532 -34.6222   287.8542 -34.6208 137.5   0.176
P0257 287.8590 -34.6877   287.8625 -34.6875 123.1   0.321
P0258 287.8043 -34.7250   287.8042 -34.7292 212.1   0.464
P0259 287.7170 -34.7792   287.7208 -34.7792 201.3   0.351
P0260 287.6792 -34.8370   287.6792 -34.8375 552.0   0.056
P0261 287.5501 -34.8579   287.5542 -34.8542 204.3   0.558
P0262 287.4713 -34.8741   287.4708 -34.8708 205.3   0.366
