1417
0.00 288.737 -31.27520 48.50 10 10 1.80 27.70 95.00 0.00
0.00 288.842 -31.27520 53.80 10 10 1.60 27.90 94.00 0.00
0.00 288.947 -31.27520 59.00 10 10 1.50 27.60 89.00 0.00
0.00 289.053 -31.27520 64.20 10 10 1.50 26.90 95.00 0.00
0.00 287.368 -31.36512 8.40 10 10 4.20 6.00 94.00 3.14
0.00 287.474 -31.36512 9.60 10 10 4.30 7.20 97.00 2.36
0.00 287.579 -31.36512 11.00 10 10 4.30 8.50 86.00 3.23
0.00 287.684 -31.36512 12.60 10 10 4.20 10.00 92.00 1.28
0.00 287.789 -31.36512 14.50 10 10 4.10 11.70 100.00 1.42
0.00 287.895 -31.36512 16.80 10 10 3.90 13.60 98.00 2.39
0.00 288 -31.36512 19.40 10 10 3.60 15.60 92.00 2.97
0.00 288.105 -31.36512 22.30 10 10 3.30 17.80 99.00 1.60
0.00 288.211 -31.36512 25.80 10 10 3.00 20.00 85.00 1.32
0.00 288.316 -31.36512 29.60 10 10 2.60 22.20 87.00 0.00
0.00 288.421 -31.36512 33.90 10 10 2.30 24.10 92.00 0.00
0.00 288.526 -31.36512 38.50 10 10 1.90 25.70 92.00 0.00
0.00 288.632 -31.36512 43.50 10 10 1.60 26.90 89.00 0.00
0.00 288.737 -31.36512 48.70 10 10 1.40 27.60 97.00 0.00
0.00 288.842 -31.36512 53.90 10 10 1.10 27.80 99.00 0.00
0.00 288.947 -31.36512 59.20 10 10 0.90 27.60 99.00 0.00
0.00 289.053 -31.36512 64.30 10 10 348.90 26.90 93.00 0.00
0.00 287.368 -31.45504 8.50 10 10 4.00 6.10 100.00 2.54
0.00 287.474 -31.45504 9.70 10 10 4.10 7.30 97.00 2.08
0.00 287.579 -31.45504 11.10 10 10 4.20 8.70 95.00 1.70
0.00 287.684 -31.45504 12.70 10 10 4.20 10.10 86.00 0.96
0.00 287.789 -31.45504 14.70 10 10 4.00 11.80 97.00 1.23
0.00 287.895 -31.45504 16.90 10 10 3.90 13.70 91.00 1.72
0.00 288 -31.45504 19.50 10 10 3.60 15.70 90.00 2.17
0.00 288.105 -31.45504 22.50 10 10 3.20 17.80 95.00 1.48
0.00 288.211 -31.45504 26.00 10 10 2.90 20.00 99.00 1.31
0.00 288.316 -31.45504 29.80 10 10 2.50 22.10 93.00 0.00
0.00 288.421 -31.45504 34.00 10 10 2.10 24.10 95.00 0.00
0.00 288.526 -31.45504 38.70 10 10 1.70 25.60 87.00 0.00
0.00 288.632 -31.45504 43.60 10 10 1.30 26.80 95.00 0.00
0.00 288.737 -31.45504 48.80 10 10 0.90 27.50 89.00 0.00
0.00 288.842 -31.45504 54.00 10 10 359.10 27.70 97.00 0.00
0.00 288.947 -31.45504 59.20 10 10 22.60 27.50 86.00 0.00
0.00 289.053 -31.45504 64.40 10 10 23.90 26.80 88.00 0.00
0.00 287.368 -31.54496 8.60 10 10 3.80 6.20 95.00 3.12
0.00 287.474 -31.54496 9.80 10 10 4.00 7.40 85.00 1.89
0.00 287.579 -31.54496 11.20 10 10 4.00 8.80 94.00 1.07
0.00 287.684 -31.54496 12.90 10 10 4.10 10.20 100.00 0.67
0.00 287.789 -31.54496 14.80 10 10 4.00 11.90 85.00 0.73
0.00 287.895 -31.54496 17.10 10 10 3.80 13.70 91.00 1.71
0.00 288 -31.54496 19.70 10 10 3.50 15.70 86.00 1.78
0.00 288.105 -31.54496 22.70 10 10 3.20 17.80 85.00 1.43
0.00 288.211 -31.54496 26.10 10 10 2.80 20.00 90.00 1.44
0.00 288.316 -31.54496 30.00 10 10 2.30 22.10 92.00 0.00
0.00 288.421 -31.54496 34.20 10 10 1.90 24.00 86.00 0.00
0.00 288.526 -31.54496 38.80 10 10 1.40 25.50 100.00 0.00
0.00 288.632 -31.54496 43.70 10 10 0.90 26.70 86.00 0.00
0.00 288.737 -31.54496 48.80 10 10 1.50 27.40 89.00 0.00
0.00 288.842 -31.54496 54.00 10 10 296.40 27.60 88.00 0.00
0.00 288.947 -31.54496 59.20 10 10 0.40 27.30 89.00 0.00
0.00 289.053 -31.54496 64.30 10 10 359.10 26.70 91.00 0.00
0.00 287.368 -31.63488 8.60 10 10 3.50 6.30 94.00 2.33
0.00 287.474 -31.63488 9.90 10 10 3.70 7.60 92.00 1.01
0.00 287.579 -31.63488 11.30 10 10 3.90 8.90 100.00 0.93
0.00 287.684 -31.63488 13.00 10 10 3.90 10.40 87.00 0.67
0.00 287.789 -31.63488 15.00 10 10 3.90 12.00 90.00 0.85
0.00 287.895 -31.63488 17.30 10 10 3.70 13.80 96.00 1.65
0.00 288 -31.63488 19.90 10 10 3.40 15.80 93.00 1.83
